judge,candidate_chosen,candidate_not_chosen,time_taken
492,4,13,40.891
492,10,6,35.287
492,9,13,46.33
492,7,6,18.829
492,10,1,9.911
492,9,6,12.075
492,14,5,18.83
492,9,2,3.861
492,12,13,51.296
492,10,13,3.3
492,15,1,21.089
492,10,5,4.014
492,7,12,3.467
492,3,1,5.969
492,8,15,23.059
492,8,6,12.349
501,9,1,50.486
501,10,8,1.483
504,11,13,55.715
504,11,1,13.285
504,5,15,1.497
504,10,14,28.172
504,8,5,28.295
504,5,3,5.509
505,12,1,7.841
505,11,9,13.062
505,4,1,1.588
505,10,15,3.557
506,12,2,4.082
506,8,1,2.516
506,2,3,1.356
506,5,6,1.936
506,8,13,1.561
506,9,3,44.258
506,11,12,1.654
506,10,11,44.234
506,4,5,1.48
506,6,13,1.467
506,7,5,1.479
506,6,14,1.466
506,8,12,8.677
506,7,1,4.476
506,13,3,1.854
506,11,3,6.826
506,13,2,9.485
506,14,1,4.906
506,15,3,43.78
506,6,3,4.886
511,5,1,47.988
511,15,11,3.462
511,5,2,4.687
511,7,2,2.121
511,15,2,14.628
511,15,6,38.7
511,10,4,53.227
511,6,2,9.6
511,3,4,5.367
511,12,9,2.601
511,2,4,31.25
511,11,4,17.25
511,10,7,6.258
511,3,7,5.646
511,9,4,18.98
511,10,2,13.959
511,13,7,1.243
511,6,12,37.303
511,5,11,23.875
511,15,14,29.621
560,10,3,14.058
560,1,2,10.502
560,1,6,7.828
560,8,7,7.749
560,13,15,10.989
560,8,11,8.851
560,14,4,8.67
560,14,11,6.867
560,7,15,5.258
560,14,2,1.773
560,6,11,3.342
560,9,8,2.124
560,10,12,4.958
560,8,4,6.954
560,14,13,6.325
560,9,14,3.452
560,9,5,2.077
560,14,3,1.689
560,9,15,1.572
560,9,10,2.095
568,4,12,57.975
568,13,1,20.846
568,14,7,13.851
568,4,7,20.701
568,8,2,14.975
568,8,3,7.019
568,12,15,10.084
568,12,14,24.014
568,8,14,8.78
568,6,4,27.519
568,11,7,24.718
568,12,3,4.351
568,12,5,7.648
568,9,7,27.433
568,4,15,10.247
568,9,3,4.82
568,13,3,10.384
568,11,5,7.68
568,10,1,4.684
568,2,3,22.668
568,10,15,10.716
568,9,8,5.636
568,11,7,2.478
568,7,15,6.033
568,9,7,3.36
568,8,3,2.905
