judge,candidate_chosen,candidate_not_chosen,time_taken
221,8,11,38.657
221,10,12,1.669
221,2,3,40.405
221,6,1,34.926
221,9,1,23.785
221,5,4,23.717
221,5,15,1.26
221,10,9,1.218
221,15,13,34.513
221,10,14,24.012
221,9,15,1.238
221,11,7,32.384
221,6,14,17.468
221,10,7,4.025
221,6,12,20.55
221,6,3,10.342
221,4,12,16.938
221,6,4,8.361
242,10,6,1.011
242,9,2,1.145
242,10,11,54.081
242,15,7,1.471
242,4,2,1.467
242,8,14,1.752
242,10,8,1.514
242,7,1,1.65
242,15,14,9.053
242,6,9,1.114
242,7,2,14.487
242,15,3,7.204
242,9,11,4.206
242,10,3,3.4
242,11,1,12.413
242,15,12,1.057
242,5,8,9.06
242,9,13,17.568
242,13,12,1.019
242,10,13,9.806
249,12,11,27.883
249,6,8,13.513
249,8,12,8.107
249,15,8,8.682
249,2,13,7.962
249,6,11,5.636
249,5,1,8.591
249,2,8,2.808
249,10,1,9.82
249,3,11,2.429
249,12,1,3.004
249,14,13,8.025
249,5,9,3.272
249,3,12,2.891
249,3,8,2.931
249,9,8,8.385
249,9,4,6.577
249,2,1,2.182
249,14,12,3.265
249,7,12,23.782
258,4,1,1.839
258,7,4,59.848
258,2,5,54.006
258,5,3,40.812
258,8,13,31.998
258,7,13,55.151
258,14,3,36.486
258,15,2,22.539
258,4,13,12.014
258,5,13,4.533
258,6,13,34.482
258,10,2,17.418
258,10,15,39.599
258,15,6,11.162
258,6,5,15.492
258,9,12,1.636
258,15,11,10.109
258,9,3,5.094
258,12,2,6.717
258,7,3,7.367
287,8,1,51.937
287,14,1,1.337
287,3,13,1.439
287,3,1,5.849
287,8,7,36.205
287,2,6,19.14
287,4,14,35.625
287,5,12,15.359
287,4,8,14.289
287,4,10,18.56
287,14,11,35.688
287,14,9,30.462
287,11,13,55.439
287,2,14,6.896
287,15,4,4.263
287,5,11,5.783
287,14,7,9.046
287,5,7,11.504
287,6,7,14.038
287,15,1,2.964
318,13,1,14.653
322,7,9,56.843
322,4,3,24.099
322,5,14,48.695
322,10,5,23.032
322,6,1,14.698
322,9,1,13.083
322,6,4,20.448
322,6,9,4.434
322,9,14,14.827
322,11,2,39.502
322,14,11,13.169
322,10,14,7.731
322,7,15,46.774
322,10,7,3.92
322,7,14,7.291
322,6,15,10.002
322,7,3,7.904
322,4,13,24.479
322,7,4,4.979
322,11,12,27.921
327,10,1,24.834
327,13,7,1.285
327,3,1,36.639
327,11,15,53.828
327,8,14,25.565
327,6,11,29.403
327,2,4,25.722
327,4,10,15.52
327,5,12,37.075
327,9,13,15.348
327,10,3,13.092
327,13,3,4.58
327,5,10,4.965
327,1,12,3.48
327,12,15,3.799
327,4,12,3.182
327,4,3,3.715
327,2,13,5.275
327,14,3,6.231
327,2,6,1.818
369,13,12,1.346
369,4,1,37.638
369,9,11,19.295
369,2,9,8.738
369,15,5,11.703
369,15,8,9.01
369,5,13,19.354
369,15,2,5.694
369,10,9,53.363
369,9,8,16.783
369,2,7,8.854
369,3,9,7.355
369,14,4,16.232
369,5,7,1.966
369,15,14,3.641
369,7,11,8.489
369,15,1,3.229
369,14,12,8.577
369,6,8,9.978
369,15,3,2.453
372,5,1,1.972
372,11,8,4.616
372,7,1,5.66
372,2,8,56.003
372,2,12,50.847
372,14,2,1.671
372,5,8,6.994
372,4,11,2.176
372,15,9,1.214
372,5,14,11.192
372,10,11,46.823
372,10,2,14.741
372,15,4,4.712
372,3,11,21.041
372,10,12,4.562
372,5,4,5.769
372,7,9,7.643
372,2,1,2.627
372,6,5,30.713
372,10,8,3.963
379,8,13,1.787
379,10,6,1.011
379,8,3,59.992
379,6,7,59.34
379,14,13,28.058
379,2,3,1.158
379,6,3,5.381
379,15,13,21.355
379,7,12,1.242
379,11,13,56.396
379,14,1,9.679
379,8,12,5.507
379,11,1,5.135
379,5,11,1.48
379,10,15,7.312
379,8,7,6.216
379,4,8,9.122
379,14,6,9.976
379,9,5,24.526
379,10,13,5.046
386,3,12,5.144
386,6,13,1.833
386,5,3,54.352
386,9,4,4.536
386,13,1,1.353
386,8,1,39.97
386,9,12,35.495
386,5,2,2.091
386,6,12,12.492
386,3,13,18.516
386,9,3,1.135
386,7,12,3.074
386,7,11,11.825
386,8,9,23.317
386,2,9,47.562
386,4,12,10.673
386,8,3,5.637
386,2,15,23.788
386,13,11,1.248
386,5,11,6.442
395,7,10,34.513
395,3,1,38.797
398,10,2,1.63
398,2,13,1.616
398,6,12,1.867
398,5,10,1.325
398,7,13,1.007
398,13,12,14.446
398,6,15,1.139
398,11,1,30.703
398,7,9,33.597
398,6,13,8.582
398,11,2,12.395
398,2,3,8.087
398,6,9,5.995
398,11,9,6.319
398,4,1,20.147
398,7,8,3.495
398,10,3,5.215
398,5,14,8.879
398,4,3,11.891
398,15,8,5.316
417,12,1,17.824
417,10,4,11.11
417,11,6,14.768
417,14,3,8.357
417,8,1,5.201
417,4,15,5.416
417,8,2,3.874
417,8,6,4.906
417,14,1,5.035
417,11,8,5.162
417,11,12,6.399
417,4,11,6.364
417,8,4,3.67
417,11,3,2.029
417,9,12,3.196
417,9,5,1.744
417,12,3,2.488
417,5,2,2.031
417,10,6,2.282
417,7,5,2.028
431,2,1,29.432
431,5,1,12.627
431,6,4,57.413
431,13,1,2.945
431,5,3,10.4
431,14,9,49.065
431,10,9,59.808
431,5,4,26.136
431,2,12,51.708
431,4,13,35.395
431,14,6,35.48
431,8,10,29.191
431,15,11,36.973
431,4,2,6.488
431,14,12,4.008
431,5,8,13.187
431,10,13,5.617
431,8,12,4.974
431,7,3,1.116
431,6,3,5.813
452,7,2,51.929
452,6,1,20.41
452,14,11,24.787
452,9,13,26.032
454,7,1,1.395
454,10,12,2.896
454,9,1,37.47
454,8,14,2.49
454,15,3,50.685
454,5,15,46.957
454,10,15,49.298
454,6,2,30.436
454,8,13,28.105
454,9,15,19.678
454,12,5,37.916
454,14,15,9.625
454,15,13,8.421
454,9,4,1.291
454,10,14,15.035
454,7,6,32.791
454,5,13,5.274
454,14,2,5.577
454,14,13,6.459
454,7,4,9.92
512,10,1,21.263
512,4,14,1.276
512,14,7,18.379
512,15,12,19.887
512,7,15,27.134
512,15,1,3.11
512,10,11,10.056
512,5,6,13.587
559,8,1,2.168
559,6,11,1.443
559,3,1,51.15
559,14,8,1.308
559,9,7,40.28
559,5,12,25.015
559,15,1,9.254
559,15,3,10.468
559,8,13,36.24
559,15,4,12.401
559,14,7,14.902
559,9,11,36.972
559,6,3,16.637
559,9,3,8.24
559,4,13,6.981
559,10,1,6.565
559,15,11,6.448
559,6,4,8.605
559,2,13,16.17
559,10,2,8.252
