judge,candidate_chosen,candidate_not_chosen,time_taken
181,4,3,9.544
181,2,14,6.32
181,13,2,9.564
181,14,1,2.813
181,2,4,11.356
181,6,4,4.46
181,9,2,10.077
181,5,3,2.03
181,7,3,26.589
181,10,12,3.265
214,8,1,40.75
214,14,7,1.118
214,3,1,22.891
214,15,10,17.686
214,8,13,28.235
214,6,14,37.285
214,2,5,16.484
214,14,4,16.576
214,10,14,25.964
214,6,7,10.441
214,9,12,26.8
214,15,3,11.664
214,8,4,7.81
215,6,8,33.063
214,5,14,18.713
214,10,1,12.838
215,11,3,32.274
215,14,13,12.43
214,15,11,38.161
215,2,10,8.251
215,7,1,13.74
215,11,1,8.327
214,5,6,28.71
214,3,10,8.646
214,3,6,4.463
214,9,4,45.865
216,15,1,28.804
219,2,3,27.148
219,15,13,37.137
219,11,13,38.738
219,9,13,43.057
219,1,4,27.966
219,5,4,18.247
219,14,15,24.745
219,10,11,12.391
219,8,3,8.479
219,8,7,37.28
219,14,9,20.792
219,6,13,25.471
219,14,3,13.426
219,8,14,21.426
219,2,12,9.58
219,4,11,18.146
219,5,12,13.752
219,6,9,16.01
219,12,11,5.239
219,2,7,23.138
223,15,12,27.232
223,15,5,20.092
223,13,4,25.63
223,9,7,13.97
223,9,15,3.719
223,12,4,5.971
223,1,12,13.531
223,2,11,8.157
223,10,5,9.904
223,12,14,0.019
223,7,11,5.385
223,6,12,8.076
223,2,15,2.146
223,1,9,2.386
223,9,10,8.113
223,1,5,2.5
223,8,11,6.713
223,10,13,6.447
223,8,9,3.807
223,12,13,7.734
223,13,5,15.785
224,3,13,1.717
224,2,1,24.453
224,12,8,1.542
224,6,1,33.027
224,7,13,1.356
224,14,11,54.161
224,6,10,36.794
224,15,7,13.733
224,3,9,9.185
224,15,8,4.562
224,4,7,8.731
224,6,15,12.584
224,5,8,5.884
224,3,12,4.597
224,10,4,4.665
224,11,9,5.767
224,7,12,5.802
224,6,11,3.83
224,15,4,2.32
224,5,9,2.818
224,2,8,13.329
224,5,7,2.315
226,2,6,3.161
226,10,7,1.1
226,10,8,1.059
226,3,1,3.136
226,9,11,1.305
226,7,11,27.333
226,5,13,35.404
226,15,1,15.262
226,5,4,1.092
226,10,9,49.651
226,5,6,8.093
226,9,8,33.932
226,9,14,8.513
226,3,7,15.377
226,10,3,38.877
226,4,14,23.586
226,10,1,22.396
226,14,12,22.6
226,4,7,4.682
226,2,14,6.528
238,5,11,26.462
238,2,15,53.115
238,11,12,1.514
238,6,2,57.948
238,7,1,1.096
238,11,1,18.822
238,4,13,1.168
238,9,7,27.959
238,15,13,15.439
238,9,13,9.121
238,8,12,10.799
238,9,12,7.045
238,10,8,17.028
238,3,12,4.406
238,5,12,7.404
238,4,15,9.793
238,14,10,1.04
238,3,8,5.026
238,5,3,28.921
238,9,1,5.589
243,6,7,1.261
243,8,7,3.116
243,13,2,1.803
243,10,7,37.836
243,7,14,31.713
243,7,2,4.209
243,6,4,3.43
243,7,13,6.233
243,6,12,59.871
243,7,15,36.825
243,13,1,56.838
243,6,3,5.688
243,12,15,8.55
243,6,11,1.29
243,11,15,11.285
243,4,1,8.347
243,6,8,10.902
243,14,15,6.769
243,6,15,14.851
243,8,13,8.36
316,10,4,2.721
316,9,3,1.636
316,5,9,1.269
316,10,11,5.052
316,4,3,2.173
317,2,3,35.575
317,2,1,24.903
317,5,1,24.226
317,4,8,30.354
317,14,13,54.984
317,12,2,1.75
317,10,12,18.221
317,15,3,23.4
317,10,2,10.744
317,4,12,7.745
317,6,13,38.398
317,5,10,13.493
317,13,12,25.469
317,10,15,6.232
317,13,3,15.617
317,5,2,2.988
317,10,13,6.664
317,6,9,12.374
317,7,12,36.782
317,8,14,28.502
343,9,2,1.534
343,6,1,1.696
343,8,1,17.508
343,8,11,1.635
343,14,11,19.884
343,8,5,55.466
343,8,15,24.909
343,6,10,29.46
343,4,2,11.681
343,9,15,7.51
343,11,2,0.742
343,14,6,14.108
343,8,2,3.543
343,3,11,5.666
343,11,13,1.055
343,5,15,3.556
343,14,3,5.194
343,9,4,4.761
343,7,5,12.536
343,14,5,14.647
378,4,11,1.888
378,1,12,2.006
378,14,1,1.568
378,3,1,48.75
378,9,11,1.68
378,7,12,1.488
378,5,15,40.613
378,2,4,19.283
378,6,4,40.67
378,10,9,25.034
378,8,5,1.05
378,8,10,40.669
378,9,14,12.581
378,8,3,26.134
378,3,11,22.108
378,5,6,12.493
378,10,1,28.355
378,12,14,19.28
378,8,4,6.336
378,2,15,6.808
380,1,9,2.198
380,7,15,31.806
380,4,1,40.191
380,15,11,26.945
380,15,8,4.758
380,6,14,15.471
380,5,2,23.831
380,4,12,14.904
380,6,7,7.334
380,10,12,11.595
380,3,12,3.178
380,15,3,20.376
380,5,13,4.596
380,12,1,23.702
380,14,11,10.679
380,4,14,6.485
380,5,3,3.382
380,2,13,4.727
380,5,4,4.33
380,2,7,2.914
390,13,1,17.285
390,15,12,15.581
390,5,1,11.659
390,9,15,8.54
390,2,10,13.043
390,10,6,23.551
390,9,12,6.969
390,6,8,7.861
390,3,4,13.99
