judge,candidate_chosen,candidate_not_chosen,time_taken
244,2,14,7.174
244,2,7,8.692
244,14,12,35.152
244,4,14,13.11
244,11,12,22.392
244,2,5,3.995
244,3,10,2.166
244,13,1,9.293
244,4,9,15.641
244,5,10,5.557
244,15,6,2.943
244,3,12,25.202
247,15,8,10.208
247,6,4,2.137
247,4,11,44.413
247,7,13,1.457
247,8,1,54.662
247,7,8,31.647
247,4,12,25.917
247,5,9,58.019
247,14,3,25.479
247,10,8,31.525
247,6,8,11.829
247,9,6,14.965
247,13,3,8.216
247,10,15,14.842
247,14,13,9.084
247,3,11,13.091
247,9,1,2.837
247,10,4,5.71
247,5,11,3.014
247,8,9,7.152
247,7,10,2.179
255,9,11,45.946
255,1,3,20.727
256,12,1,55.324
256,14,12,39.066
256,4,1,19.48
256,10,12,34.813
256,2,7,36.885
256,5,13,44.87
256,14,9,17.483
265,2,1,22.87
265,15,13,43.109
265,12,11,51.479
265,5,1,46.095
265,4,3,33.163
265,15,1,7.81
265,2,11,7.222
278,2,3,52.557
278,4,14,20.375
278,6,13,1.026
278,15,2,17.872
278,10,11,19.365
278,4,9,23.741
278,2,10,7.341
278,15,6,45.743
278,6,7,25.91
278,5,10,12.418
278,10,1,12.223
278,7,1,18.324
278,4,2,20.894
278,3,9,26.369
278,12,13,51.628
278,5,8,8.746
278,15,12,23.793
278,6,14,10.816
278,13,10,11.567
278,6,5,21.646
278,2,5,53.935
278,6,3,25.35
278,6,12,5.446
283,8,12,1.71
283,2,9,9.005
283,4,15,2.092
283,14,11,18.212
283,7,15,20.614
283,3,10,4.603
283,7,14,6.502
283,15,14,4.233
283,2,13,3.283
283,5,12,19.257
283,14,10,15.544
283,13,1,57.686
283,11,1,5.557
283,8,11,3.373
283,7,3,9.883
283,15,11,4.06
283,5,3,2.699
283,4,7,6.924
283,5,7,2.741
283,2,12,1.724
286,11,13,41.368
286,6,2,30.338
286,11,7,29.664
286,5,4,18.777
286,9,13,10.21
279,9,13,11.174
279,11,7,15.827
279,6,10,4.129
279,5,4,2.387
279,2,6,2.314
300,14,2,1.181
300,6,11,1.882
299,9,10,1.547
300,4,13,34.221
300,15,5,1.452
299,4,13,1.637
300,9,10,51.541
299,5,15,52.198
300,8,9,36.046
300,8,6,7.335
300,15,1,22.418
300,4,7,28.494
300,11,10,10.331
300,5,9,9.89
300,8,14,1.135
300,15,10,42.642
299,11,6,4.001
300,8,3,31.075
300,11,3,5.463
300,5,7,3.624
300,10,1,20.855
300,14,13,8.276
300,4,9,3.818
299,10,6,58.577
300,2,15,6.817
299,10,13,1.052
300,5,3,1.141
300,14,10,7.73
300,4,15,4.107
300,4,1,2.962
300,3,1,33.293
299,2,12,1.009
299,15,12,22.816
299,14,11,45.56
299,8,10,57.441
299,7,12,1.2
299,9,8,2.187
299,7,9,28.328
299,7,3,11.722
299,4,15,11.707
299,4,8,7.082
299,11,15,40.947
299,4,3,4.699
299,2,14,36.193
299,9,12,9.404
302,15,9,55.326
302,6,1,46.069
302,14,1,1.276
302,15,8,41.339
302,2,4,1.609
302,12,11,3.372
302,5,2,40.619
302,3,13,1.183
302,3,9,10.323
302,14,9,17.782
302,6,4,28.051
302,8,11,19.831
302,15,14,7.716
302,2,3,7.577
302,3,10,27.733
302,2,10,5.02
302,6,9,27.32
302,6,14,9.07
302,12,10,21.905
