judge,candidate_chosen,candidate_not_chosen,time_taken
205,11,8,10.861
245,4,8,6.001
245,2,15,1.798
245,10,13,2.884
245,4,1,19.614
245,7,3,41.468
245,10,12,1.807
245,5,13,25.832
245,14,1,15.335
245,8,12,5.839
245,3,12,9.81
245,7,5,33.515
245,8,2,6.991
245,6,1,22.246
245,8,3,6.276
245,9,1,6.476
245,10,11,1.66
245,6,15,10.981
245,8,15,13.855
245,5,3,4.969
245,10,6,8.019
250,11,1,2.869
250,10,9,1.458
250,1,3,1.138
250,10,14,31.946
250,7,11,25.402
250,7,2,18.815
250,6,5,52.012
250,6,11,14.044
250,6,4,15.342
250,10,4,4.316
250,8,6,2.786
250,13,1,1.064
250,12,13,19.981
250,5,9,5.875
250,11,3,12.449
250,6,3,3.694
250,11,4,14.81
250,10,2,3.55
250,10,5,4.908
250,9,2,7.935
261,15,1,1.712
261,2,1,11.642
261,14,13,0.059
261,12,11,0.067
261,5,1,24.591
261,14,3,1.07
261,14,15,20.698
261,2,14,1.557
261,7,9,4.045
261,14,6,58.653
261,3,13,22.223
261,9,13,5.898
261,2,12,47.915
261,7,4,51.448
261,5,12,4.142
261,6,7,10.576
261,15,12,2.006
261,2,5,5.538
261,11,13,46.938
261,7,12,2.831
266,3,9,1.915
294,11,2,3.178
294,7,1,1.225
294,8,1,26.757
294,5,11,39.086
294,15,13,1.463
294,4,12,55.624
294,5,8,58.165
294,5,4,34
294,6,9,41.578
294,10,8,21.132
294,8,7,8.204
294,14,12,31.309
294,10,15,14.094
294,14,4,18.951
294,4,3,11.154
294,9,15,22.111
294,7,13,4.089
294,11,9,30.944
294,15,11,15.609
294,7,15,23.498
310,4,13,3.373
310,10,7,2.939
310,9,8,59.604
310,2,13,28.571
310,4,9,1.365
310,8,13,18.907
310,5,15,2.181
310,14,8,29.911
310,15,3,19.954
310,15,4,30.635
310,14,11,16.443
310,2,6,12.153
310,9,12,13.204
310,12,1,1.22
310,10,3,13.769
310,10,1,4.715
310,2,3,12.772
310,14,9,7.699
310,6,13,1.099
310,6,12,16.213
310,5,14,16.719
310,9,3,5.253
310,9,13,3.164
310,10,7,7.183
335,11,12,48.535
335,2,8,29.068
335,11,2,9.883
335,14,5,42.714
335,14,4,13.068
335,6,11,21.566
335,9,15,54.277
335,6,8,11.409
335,10,1,13.125
335,10,6,14.515
335,5,15,13.604
335,2,9,15.32
335,11,15,3.882
335,15,1,6.898
335,11,5,5.086
335,14,7,22.078
335,3,1,6.868
335,10,9,5.792
335,6,9,8.212
335,5,3,13.729
335,4,1,11.046
336,10,13,2.319
336,14,8,50.734
336,5,3,30.161
336,4,7,2.097
336,2,4,10.852
336,5,8,4.895
336,2,15,4.098
336,14,9,12.757
336,7,9,17.905
336,9,4,16.568
336,14,3,3.063
336,11,3,18.589
