judge,candidate_chosen,candidate_not_chosen,time_taken
418,5,7,4.751
418,8,11,1.001
418,10,14,1.152
433,12,7,1.01
433,8,12,18.435
433,10,7,23.514
433,2,14,28.856
433,14,3,14.916
433,2,3,3.058
433,4,13,18.308
433,2,12,7.233
433,7,15,2.758
433,7,6,12.793
433,4,5,12.172
433,10,3,5.377
433,7,3,2.668
433,6,15,4.993
433,14,6,8.032
433,7,11,16.142
433,8,2,5.999
433,8,4,13.008
433,6,3,2.25
433,12,15,6.092
440,10,2,19.397
440,5,10,21.161
440,13,3,44.795
440,8,3,4.099
440,14,12,23.404
440,6,11,19.456
440,7,13,19.768
440,11,3,36.557
440,8,10,15.987
440,13,12,6.594
440,8,14,6.735
440,6,4,12.173
440,4,12,3.298
440,10,1,5.062
440,15,13,14.237
440,1,3,4.831
440,6,5,7.107
440,11,12,2.69
440,4,1,3.045
440,12,1,10.653
440,9,7,9.134
458,13,1,4.781
458,1,2,3.514
458,10,15,3.72
476,1,15,2.584
476,5,1,2.442
476,11,15,1.965
476,6,1,2.978
476,15,3,3.27
476,14,15,2.282
476,15,2,3.961
476,14,7,22.724
476,6,13,5.043
476,3,12,4.809
476,11,2,2.922
476,10,4,12.535
476,13,5,15.294
476,6,8,14.965
476,10,11,7.995
476,6,2,1.463
476,10,12,3.856
476,4,15,2.443
476,9,12,2.557
476,6,9,2.33
510,7,1,38.56
510,8,1,32.665
510,5,12,39.68
510,2,9,20.282
510,9,8,29.062
510,4,11,1.857
510,10,13,1.048
510,6,12,47.509
510,2,5,5.866
510,5,11,10.156
510,7,8,10.651
510,15,8,35.391
510,7,4,6.779
510,6,10,6.38
510,14,13,13.897
510,9,13,8.935
510,5,8,6.077
510,3,4,1.543
510,14,9,11.559
510,11,13,8.752
510,15,5,9.147
510,3,5,1.591
528,8,13,2.332
528,11,1,2.861
528,14,4,1.446
528,9,3,3.06
528,9,11,25.366
528,9,10,1.542
528,9,5,2.076
528,2,13,16.988
528,9,4,22.863
528,14,1,31.26
528,9,15,8.159
528,14,5,10.503
528,7,2,2.001
528,14,11,40.82
528,13,3,22.188
528,10,3,4.675
528,7,13,7.741
528,12,7,1.395
528,10,8,27.296
528,9,2,18.194
532,14,6,37.256
532,3,1,42.606
532,14,9,40.385
532,7,14,1.025
532,5,15,31.199
532,15,1,4.889
532,7,4,25.975
532,9,13,10.948
532,8,5,17.876
532,8,13,2.153
532,10,12,18.789
532,7,3,3.01
532,3,11,17.586
532,5,6,14.743
532,10,1,3.258
532,13,12,1.656
532,4,9,4.951
532,14,2,8.392
532,2,11,3.082
532,3,12,4.53
538,11,1,2.921
538,10,5,1.438
538,8,12,2.228
538,5,3,36.184
538,14,11,54.462
538,10,13,2.855
538,13,11,51.397
538,9,15,2.18
538,4,6,1.647
538,9,6,23.591
538,11,5,21.279
538,11,15,4.327
538,14,3,8.792
538,8,3,5.35
538,9,1,5.631
538,10,9,27.92
538,5,4,13.452
538,13,2,13.862
538,15,12,36.738
538,8,9,13.891
549,2,1,1.375
549,15,10,54.127
549,4,1,13.195
549,3,4,6.496
549,12,1,31.599
549,2,7,11.3
549,6,12,15.081
549,6,10,12.809
549,2,15,19.123
549,11,9,2.107
549,2,5,14.92
549,3,15,26.908
549,5,7,52.196
549,5,13,8.336
549,14,10,19.523
549,14,1,7.336
549,15,13,4.563
549,6,15,48.962
549,4,11,6.753
549,14,8,7.416
